"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:4356Typ82hUiFAynbLYbPn","DJ Got Us Fallin' In Love (feat. Pitbull)","spotify:artist:23zg3TcAtWQy7J6upgbUnj, spotify:artist:0TnOYISbd1XYRBk9myaseg","Usher, Pitbull","spotify:album:6A1F3Fkq5dYeYYNkXflcTX","Raymond v Raymond (Expanded Edition)","1","16","220800","","2020-05-20T05:36:48Z"
"spotify:track:4fINc8dnfcz7AdhFYVA4i7","It Girl","spotify:artist:07YZf4WDAMNwqr4jfgOZ8y","Jason Derulo","spotify:album:31tCg5RXhY5jpagfCPcQa2","Future History (Deluxe Edition)","1","2","192200","","2020-05-20T05:33:44Z"
"spotify:track:5Ue25r0VGvZR7vaw3iB0gZ","Turn All the Lights On (feat. Ne-Yo)","spotify:artist:3aQeKQSyrW4qWr35idm0cy, spotify:artist:21E3waRsmPlU7jZsS13rcj","T-Pain, Ne-Yo","spotify:album:49FwsZq64UotAHB0CXGR1N","rEVOLVEr (Deluxe Version)","1","14","216440","","2020-05-20T05:32:46Z"
"spotify:track:4FmyszaYnvrcrMNZq43s1n","Von allein","spotify:artist:3gemH8D6fpu12DmTmUZYAL","Culcha Candela","spotify:album:2GcdSZiPmHsJi8tHlFvnDg","Flätrate","1","5","216813","","2020-05-19T18:11:28Z"
"spotify:track:0k6DnZMLoEUH8NGD5zh2SE","Ayo","spotify:artist:7bXgB6jMjp9ATFy66eO08Z, spotify:artist:5LHRHt1k9lMyONurDHEdrp","Chris Brown, Tyga","spotify:album:4neocSMt40stXKK2B8Sy2G","Fan of A Fan The Album (Expanded Edition)","1","3","225226","","2020-05-19T17:07:08Z"
"spotify:track:1orDTlpI02AkHtNN3RAtLV","Monsta","spotify:artist:3gemH8D6fpu12DmTmUZYAL","Culcha Candela","spotify:album:1rzMyrv3hmCbfHGIJJb3ni","Schöne Neue Welt","1","3","196120","","2020-05-19T11:45:57Z"
"spotify:track:23GRmUjbVdDOrg7xHDld5c","House Party - Radio Edit","spotify:artist:6yTYR09WCvsgdnurDW4WQo, spotify:artist:3yBEHAINorE3uSvsCmyCwQ, spotify:artist:1o9x7ez0NvhDb7gBqrYnUj, spotify:artist:5FTpdDUA9cksspPW5Ix78g","DJ Antoine, Mad Mark, B-Case, U-Jean","spotify:album:6J37nKVlEUA1XyZ6q2fs2O","Sky Is the Limit","1","10","206791","","2020-05-19T11:45:55Z"
"spotify:track:2KgCPRTAECwNbJG1uYdfjl","Stamp On The Ground","spotify:artist:5nkYRuiIHg2xXHFC8bfosJ","ItaloBrothers","spotify:album:7MbWoZrF41CMAzeUZdS8In","Stamp!","1","1","197961","","2020-05-19T11:37:56Z"
"spotify:track:6jizk5lOUnfpaZXYMdfeC6","Trumpets","spotify:artist:07YZf4WDAMNwqr4jfgOZ8y","Jason Derulo","spotify:album:1OdcBxCNY52OXH0r4odXqP","Tattoos","1","5","217306","","2020-05-19T11:37:45Z"
"spotify:track:5QIG1kl6klZIy0Lu67XNYJ","Welcome to St. Tropez - DJ Antoine vs Mad Mark Radio Edit","spotify:artist:6yTYR09WCvsgdnurDW4WQo, spotify:artist:2NoFr6doacvN58q9p9EFky","DJ Antoine, Kalenna","spotify:album:0Gjr3UYirjm0iOaaCdRtxX","Welcome to DJ Antoine","1","1","195192","","2020-05-19T11:28:29Z"
"spotify:track:4nd5onkRpFPvqa8rGIiJgz","Berlin City Girl","spotify:artist:3gemH8D6fpu12DmTmUZYAL","Culcha Candela","spotify:album:53V1mHiWEve3Q86WWFocqi","Das Beste (Deluxe Version)","1","4","226320","","2020-05-19T11:22:11Z"
